ark,arkserver,ARK: Survival Evolved,unreal4
bb2,bb2server,BrainBread 2,source
bf1942,bf1942server,Battlefield 1942,refractor
bmdm,bmdmserver,Black Mesa: Deathmatch,source
bo,boserver,Ballistic Overkill,unity3d
bs,bsserver,Blade Symphony,source
cc,ccserver,Codename CURE,source
cod,codserver,Call of Duty,idtech3
cod2,cod2server,Call of Duty 2,iw2.0
cod4,cod4server,Call of Duty 4,iw3.0
coduo,coduoserver,Call of Duty: United Offensive,idtech3
codwaw,codwawserver,Call of Duty: World at War,iw3.0
cs,csserver,Counter-Strike 1.6,goldsource
cscz,csczserver,Counter-Strike: Condition Zero,goldsource
csgo,csgoserver,Counter-Strike: Global Offensive,source
css,cssserver,Counter-Strike: Source,source
dab,dabserver,Double Action: Boogaloo,source
dmc,dmcserver,Deathmatch Classic,goldsource
dod,dodserver,Day of Defeat,goldsource
dods,dodsserver,Day of Defeat: Source,source
doi,doiserver,Day of Infamy,source
dst,dstserver,Don't Starve Together,dontstarve
em,emserver,Empires Mod,source
fctr,fctrserver,Factorio,factorio
fof,fofserver,Fistful of Frags,source
ges,gesserver,GoldenEye: Source,source
gmod,gmodserver,Garrys Mod,source
hl2dm,hl2dmserver,Half-Life 2: Deathmatch,source
hldm,hldmserver,Half-Life: Deathmatch,goldsource
hldms,hldmsserver,Half-Life Deathmatch: Source,source
hw,hwserver,Hurtworld,unity3d
ins,insserver,Insurgency,source
jc2,jc2server,Just Cause 2,avalanche
kf,kfserver,Killing Floor,unreal2
l4d,l4dserver,Left 4 Dead,source
l4d2,l4d2server,Left 4 Dead 2,source
mc,mcserver,Minecraft,lwjgl2
mta,mtaserver,Multi Theft Auto,renderware
mumble,mumbleserver,Mumble,
nmrih,nmrihserver,No More Room in Hell,source
ns2,ns2server,Natural Selection 2,spark
ns2c,ns2cserver,NS2: Combat,spark
opfor,opforserver,Opposing Force,goldsource
pc,pcserver,Project Cars,madness
pvkii,pvkiiserver,Pirates Vikings & Knights II,source
pz,pzserver,Project Zomboid,projectzomboid
q2,q2server,Quake 2,idtech2
q3,q3server,Quake 3: Arena,idtech3
ql,qlserver,Quake Live,idtech3_ql
qw,qwserver,Quake World,quake
ricochet,ricochetserver,Ricochet,goldsource
ro,roserver,Red Orchestra: Ostfront 41-45,unreal2
rust,rustserver,Rust,unity3d
sb,sbserver,Starbound,starbound
sdtd,sdtdserver,7 Days to Die,unity3d
ss3,ss3server,Serious Sam 3: BFE,seriousengine35
sven,svenserver,Sven Co-op,goldsource
terraria,terrariaserver,Terraria,terraria
tf2,tf2server,Team Fortress 2,source
tfc,tfcserver,Team Fortress Classic,goldsource
ts3,ts3server,Teamspeak 3,
tu,tuserver,Tower Unite,unreal4
tw,twserver,Teeworlds,teeworlds
ut2k4,ut2k4server,Unreal Tournament 2004,unreal2
ut3,ut3server,Unreal Tournament 3,unreal3
ut99,ut99server,Unreal Tournament 99,unreal
wet,wetserver,Wolfenstein: Enemy Territory,idtech3
ï»¿arma3,arma3server,ARMA 3,realvirtuality
